cal_r,cal_g,cal_b,L_star,a_star,b_star,hue,sat,val,delta_e,temperature_c,humidity_pct,strip_age_days,dose_ppm_min
121.86,103.05,78.56,44.8,3.61,16.62,34.0,35.3,47.8,51.86,27.9,46.7,31.1,740.6
108.01,89.08,68.18,39.19,4.41,15.01,32.0,36.9,42.4,57.26,22.7,53.2,24.0,903.6
189.73,176.77,153.29,72.61,0.75,13.7,38.0,19.6,74.5,23.86,27.5,59.8,41.7,255.6
193.43,180.61,158.25,74.04,0.86,13.05,40.0,18.0,75.7,22.33,31.2,53.8,54.6,234.2
106.79,90.21,68.35,39.38,3.21,15.15,34.0,36.5,42.0,57.02,30.3,45.1,24.4,855.6
239.95,237.63,219.57,93.71,-2.29,9.02,54.0,8.2,94.1,3.61,27.1,72.0,57.8,5.9
109.34,91.91,68.63,40.14,3.36,16.05,34.0,36.9,42.7,56.38,25.2,68.3,59.2,881.6
248.29,240.08,221.0,94.99,-0.41,10.2,42.0,11.0,97.3,1.81,23.5,34.4,55.2,0.0
171.03,154.88,130.12,64.71,1.9,15.16,36.0,23.9,67.1,31.92,21.5,61.6,43.7,383.8
102.32,84.07,60.27,36.98,3.82,16.74,34.0,41.2,40.0,59.62,31.1,57.1,11.3,899.2
101.44,81.13,61.15,36.05,5.33,14.96,30.0,39.6,39.6,60.44,35.0,72.6,45.3,880.9
76.3,58.09,40.65,25.99,5.32,13.91,30.0,45.9,29.8,70.35,23.6,47.7,27.5,1395.2
93.97,75.89,54.54,33.57,4.25,15.57,32.0,41.6,36.9,62.89,32.0,43.0,41.4,1067.2
238.1,231.45,211.68,91.83,-1.05,10.42,44.0,11.0,93.3,4.67,26.8,43.3,36.6,30.4
77.87,59.22,44.34,26.59,5.84,12.37,26.0,43.5,30.6,69.7,24.6,71.6,46.6,1320.7
191.89,180.86,155.37,73.91,-0.3,14.42,42.0,19.2,75.3,22.76,29.6,50.4,49.9,249.3
243.79,239.06,221.27,94.4,-1.41,9.16,46.0,9.4,95.7,2.5,18.5,50.2,12.6,0.0
191.3,178.29,156.62,73.22,1.04,12.75,38.0,17.6,74.9,23.09,30.0,71.1,5.2,221.7
77.47,60.47,43.36,26.89,4.71,13.39,30.0,44.3,30.2,69.38,20.6,52.3,17.7,1368.3
100.38,81.45,59.91,36.0,4.49,15.63,32.0,40.0,39.2,60.5,33.8,62.3,45.7,905.4
129.39,113.64,88.58,48.72,2.07,16.18,38.0,31.0,50.6,47.85,25.2,59.9,24.9,648.9
245.61,239.47,221.01,94.63,-1.03,9.66,44.0,10.2,96.5,2.16,20.2,83.3,8.7,0.0
227.83,221.94,200.25,88.38,-1.63,11.36,48.0,12.2,89.4,8.26,39.7,67.0,6.0,58.5
212.72,201.27,182.67,81.52,0.87,10.72,36.0,14.1,83.5,14.59,29.6,35.3,35.8,140.0
91.22,72.43,51.5,32.19,4.73,15.57,32.0,43.9,35.7,64.29,39.7,71.7,1.7,951.5
93.65,76.03,55.66,33.6,4.17,14.91,32.0,40.4,36.9,62.79,28.2,58.6,48.1,1067.5
71.65,57.7,35.2,25.21,2.6,16.28,38.0,51.4,28.2,71.19,30.6,75.6,24.4,1335.0
85.41,68.75,49.92,30.42,4.1,14.08,32.0,41.2,33.3,65.87,24.2,60.0,4.5,1169.7
73.36,54.92,38.22,24.63,5.63,13.63,30.0,47.8,28.6,71.7,31.9,43.5,29.0,1416.2
193.04,180.46,157.33,73.95,0.65,13.41,38.0,18.8,75.7,22.49,27.6,62.7,8.5,223.0
97.74,77.26,59.01,34.48,5.74,14.09,28.0,39.6,38.4,61.95,23.9,57.7,52.8,1069.9
88.7,72.1,49.12,31.76,3.44,16.42,34.0,45.1,34.9,64.73,26.5,49.8,53.7,1185.4
182.66,166.15,144.13,69.02,2.38,13.59,34.0,21.2,71.8,27.43,34.1,73.1,33.0,269.9
62.94,44.93,29.46,20.11,5.95,13.22,28.0,54.1,24.7,76.2,24.3,49.3,26.5,1765.0
76.05,58.94,40.59,26.21,4.64,14.24,30.0,45.9,29.8,70.11,22.0,59.7,43.7,1411.8
162.22,143.88,119.86,60.75,2.97,15.29,34.0,25.9,63.5,35.89,25.9,43.5,28.8,439.3
57.09,40.06,25.42,17.77,5.76,12.73,28.0,56.1,22.4,78.5,37.3,46.4,12.9,1782.2
76.49,57.95,42.43,26.01,5.74,12.79,28.0,44.7,29.8,70.29,23.2,70.4,45.6,1355.2
174.49,160.17,136.29,66.55,1.29,14.35,38.0,22.0,68.2,29.94,27.0,49.7,28.6,338.1
228.77,220.52,200.48,88.1,-0.53,10.85,44.0,12.5,89.8,8.18,29.4,80.1,4.1,62.3
147.03,129.05,108.79,55.09,3.53,13.51,32.0,25.9,57.6,41.27,29.4,54.7,31.1,506.0
90.42,71.9,53.33,31.98,4.93,14.13,30.0,41.2,35.3,64.38,24.1,56.2,12.0,1107.3
137.92,123.11,98.6,52.38,1.65,15.5,36.0,28.2,54.1,44.12,30.6,61.8,22.9,548.9
68.19,50.49,32.96,22.55,5.32,14.21,30.0,51.4,26.7,73.79,31.2,44.7,3.4,1518.9
135.87,115.99,90.83,50.05,3.78,16.79,34.0,32.9,53.3,46.72,34.2,54.0,29.9,577.2
140.78,121.12,97.74,52.09,3.86,15.64,32.0,30.6,55.3,44.54,30.2,61.2,32.2,544.3
212.57,200.26,178.43,81.15,0.69,12.46,38.0,16.5,83.5,15.25,23.9,65.1,25.5,147.3
227.24,218.55,198.38,87.43,-0.39,10.98,44.0,12.9,89.0,8.84,26.0,47.8,59.5,81.8
137.03,117.47,90.34,50.57,3.35,17.79,34.0,34.1,53.7,46.36,32.0,36.3,39.6,635.9
167.77,150.07,126.12,63.05,2.67,15.04,34.0,25.1,65.9,33.57,19.7,53.4,47.6,431.0
234.7,225.17,209.41,89.94,0.61,8.86,36.0,11.0,92.2,6.06,24.2,63.7,32.5,44.6
208.27,199.23,177.14,80.51,-0.55,12.19,42.0,14.9,81.6,15.85,29.0,70.4,29.3,143.0
209.52,198.68,178.68,80.5,0.44,11.37,38.0,14.9,82.4,15.68,25.4,42.8,28.2,158.1
56.9,39.07,29.24,17.52,6.83,9.8,22.0,49.0,22.4,78.74,27.5,70.2,35.8,1793.7
243.78,241.66,222.4,95.07,-2.54,9.55,54.0,9.0,95.7,3.23,27.3,64.0,18.6,0.0
189.98,177.77,154.33,72.92,0.47,13.57,40.0,18.8,74.5,23.53,30.0,71.3,44.3,231.2
57.9,43.43,27.49,18.96,4.14,12.91,30.0,53.3,22.7,77.22,32.0,57.0,19.7,1681.3
136.15,118.84,93.4,50.92,2.61,16.48,36.0,31.8,53.3,45.75,30.9,59.5,22.6,573.6
141.09,124.22,99.24,53.0,2.43,16.03,36.0,29.8,55.3,43.61,22.7,59.0,58.8,602.4
102.97,84.29,61.96,37.14,4.21,15.95,32.0,40.0,40.4,59.38,30.3,55.2,40.9,916.3
184.98,170.75,148.01,70.51,1.37,13.58,38.0,20.0,72.5,25.91,30.2,62.1,59.4,280.1
161.63,144.47,119.7,60.85,2.38,15.51,34.0,25.9,63.5,35.8,30.1,54.4,3.2,415.6
233.2,228.61,208.35,90.67,-1.86,10.43,50.0,10.6,91.4,6.0,26.3,84.1,51.1,43.2
239.6,232.89,213.78,92.36,-0.93,10.09,44.0,11.0,94.1,4.06,24.3,61.2,47.6,27.1
127.5,112.18,84.97,48.05,1.6,17.34,38.0,33.7,50.2,48.68,27.8,60.2,39.0,665.2
72.95,54.77,39.2,24.56,5.66,12.88,28.0,46.7,28.6,71.73,30.4,51.2,58.7,1455.4
198.41,185.01,165.49,75.76,1.5,11.62,36.0,16.5,77.6,20.43,20.4,49.3,59.2,231.7
97.87,76.19,55.85,34.13,6.04,15.57,28.0,42.7,38.4,62.46,20.8,64.6,58.4,1093.6
99.95,81.79,61.72,36.09,4.33,14.63,32.0,38.0,39.2,60.3,31.3,51.9,9.0,932.7
198.02,187.02,163.95,76.21,0.05,13.09,40.0,17.3,77.6,20.21,32.5,53.1,54.1,206.7
245.19,239.32,223.31,94.62,-0.72,8.44,44.0,9.0,96.1,1.93,28.4,67.5,20.2,0.0
165.52,149.77,124.57,62.73,1.72,15.44,36.0,24.7,65.1,33.91,33.0,58.5,14.0,370.4
219.67,208.44,188.33,84.04,0.54,11.38,38.0,14.5,86.3,12.19,29.7,41.7,55.2,115.0
218.71,207.87,185.7,83.75,0.08,12.36,40.0,14.9,85.9,12.71,31.1,55.3,8.3,112.9
170.08,153.8,127.88,64.29,1.79,15.81,38.0,24.7,66.7,32.46,33.5,46.9,41.5,379.7
59.59,44.56,28.57,19.55,4.38,12.99,30.0,51.8,23.5,76.65,30.5,64.5,21.1,1658.5
157.24,143.61,119.85,60.22,1.13,14.49,38.0,23.5,61.6,36.2,29.8,52.3,39.9,430.2
89.3,72.92,53.25,32.15,3.75,14.39,34.0,40.4,34.9,64.16,30.5,53.8,44.5,1089.7
77.82,60.7,41.89,26.97,4.53,14.45,32.0,46.3,30.6,69.36,33.7,59.4,28.8,1220.2
119.19,100.16,78.5,43.71,4.15,15.13,32.0,33.7,46.7,52.77,32.4,56.8,29.2,724.2
59.05,42.37,29.41,18.82,5.7,11.46,26.0,51.0,23.1,77.39,18.6,49.5,18.5,1951.9
130.25,110.4,86.41,47.86,4.01,16.29,32.0,33.7,51.0,48.82,32.8,50.7,34.4,652.4
207.74,199.23,175.0,80.42,-1.08,13.2,44.0,15.7,81.6,16.21,27.7,61.7,33.0,152.9
155.48,138.71,116.85,58.68,2.71,14.01,34.0,24.7,60.8,37.72,25.6,56.2,36.7,462.4
80.71,63.58,45.28,28.24,4.53,14.03,32.0,44.3,31.8,68.07,15.0,43.0,45.0,1452.5
155.48,136.93,112.52,58.1,3.07,15.67,34.0,27.1,60.8,38.57,32.7,77.1,47.0,431.2
124.05,103.76,79.07,45.23,4.22,16.94,34.0,36.5,48.6,51.52,18.3,36.2,7.5,806.7
166.93,153.38,127.98,63.9,0.79,15.17,38.0,23.5,65.5,32.69,22.3,49.3,25.5,398.4
245.2,239.74,221.02,94.67,-1.31,9.7,48.0,9.8,96.1,2.35,27.8,45.0,30.9,0.0
51.74,35.88,24.83,15.74,5.79,10.34,24.0,51.8,20.4,80.45,33.5,60.1,39.0,1985.6
139.7,120.28,99.44,51.79,4.14,14.23,30.0,29.4,54.9,44.67,24.6,43.7,5.8,609.9
