chemical_state_id,image_id,split,dose_ppm_min,cal_r,cal_g,cal_b,L_star,a_star,b_star,hue,sat,val,delta_e,uniformity_score,noise_std,temperature_c,humidity_pct,strip_age_days
CHEM-TR-0001,img_train_0001_var02,train,1796.82,55.8,43.0,28.4,18.57,3.47,11.76,32.0,49.0,21.6,77.54,0.982,0.63,25.6,40.3,17.9
CHEM-TR-0001,img_train_0001_var05,train,1796.82,59.0,41.1,26.3,18.36,6.11,12.95,28.0,55.3,22.7,77.94,0.959,1.43,27.7,40.8,7.6
CHEM-TR-0001,img_train_0001_var07,train,1796.82,57.4,40.3,24.7,17.86,5.64,13.32,30.0,58.0,22.4,78.43,0.1,38.43,24.8,54.4,9.6
CHEM-TR-0001,img_train_0001_var09,train,1796.82,54.3,37.4,24.9,16.56,6.03,11.46,26.0,55.7,21.2,79.67,0.918,2.88,34.6,73.0,7.3
CHEM-TR-0001,img_train_0001_var10,train,1796.82,53.9,37.5,24.2,16.52,5.72,11.86,26.0,54.9,20.8,79.7,0.1,44.85,27.5,64.1,23.0
CHEM-TR-0002,img_train_0002_var01,train,446.85,155.4,139.4,117.1,58.86,2.29,14.13,34.0,24.7,60.8,37.54,0.285,25.01,28.1,77.1,19.3
CHEM-TR-0002,img_train_0002_var02,train,446.85,159.7,142.1,117.6,59.98,2.63,15.48,36.0,26.3,62.4,36.66,0.201,27.95,23.7,32.6,34.6
CHEM-TR-0002,img_train_0002_var03,train,446.85,161.0,145.3,155.5,61.9,7.7,-3.25,320.0,9.4,62.7,36.94,0.985,0.52,19.2,77.1,23.6
CHEM-TR-0002,img_train_0002_var04,train,446.85,171.8,150.4,126.1,63.5,4.12,15.72,32.0,26.3,67.1,33.38,0.988,0.43,31.5,71.5,25.3
CHEM-TR-0002,img_train_0002_var05,train,446.85,158.6,140.6,116.2,59.45,2.84,15.48,34.0,26.7,62.0,37.19,0.949,1.8,20.0,40.3,37.3
CHEM-TR-0002,img_train_0002_var06,train,446.85,158.7,141.4,117.5,59.71,2.6,15.12,36.0,25.9,62.0,36.86,0.985,0.53,26.8,54.9,6.2
CHEM-TR-0002,img_train_0002_var07,train,446.85,153.2,138.2,116.0,58.3,1.97,13.95,36.0,24.7,60.0,38.05,0.971,1.01,22.5,71.9,8.6
CHEM-TR-0002,img_train_0002_var08,train,446.85,188.0,182.7,213.6,75.63,7.86,-14.83,250.0,14.5,83.5,32.2,0.748,8.83,31.7,42.2,9.5
CHEM-TR-0002,img_train_0002_var09,train,446.85,155.9,139.0,117.5,58.82,2.82,13.82,34.0,24.7,60.8,37.56,0.4,21.01,31.5,64.4,20.5
CHEM-TR-0002,img_train_0002_var10,train,446.85,150.3,134.5,111.0,56.93,2.1,14.86,36.0,26.7,58.8,39.54,0.982,0.64,20.5,69.7,28.9
CHEM-TR-0003,img_train_0003_var01,train,0.0,245.1,239.9,222.7,94.74,-1.12,8.93,44.0,9.4,96.1,2.05,0.506,17.29,19.0,48.3,27.5
CHEM-TR-0003,img_train_0003_var02,train,0.0,238.5,240.7,222.5,94.43,-3.84,8.52,66.0,7.5,94.1,4.64,0.987,0.47,19.7,43.4,21.5
CHEM-TR-0003,img_train_0003_var05,train,0.0,244.9,240.0,223.0,94.76,-1.24,8.82,50.0,9.0,95.7,2.14,0.959,1.43,26.9,47.2,22.0
CHEM-TR-0003,img_train_0003_var06,train,0.0,245.0,240.0,221.5,94.72,-1.41,9.51,46.0,9.4,95.7,2.36,0.47,18.54,32.9,73.2,20.9
CHEM-TR-0003,img_train_0003_var07,train,0.0,246.2,240.3,222.7,94.93,-0.98,9.22,46.0,9.8,96.5,1.84,0.965,1.21,26.1,41.0,34.6
CHEM-TR-0003,img_train_0003_var09,train,0.0,244.8,240.2,222.5,94.79,-1.47,9.11,50.0,9.0,95.7,2.31,0.572,14.97,31.8,79.0,7.8
CHEM-TR-0003,img_train_0003_var10,train,0.0,224.9,223.3,209.5,88.72,-1.86,6.97,56.0,6.7,87.8,7.92,0.975,0.87,33.8,40.4,7.4
CHEM-TR-0004,img_train_0004_var02,train,1804.36,54.4,38.3,26.2,16.88,5.67,10.94,26.0,51.8,21.2,79.31,0.1,51.56,26.7,31.0,35.8
CHEM-TR-0004,img_train_0004_var05,train,1804.36,54.1,37.8,23.7,16.62,5.54,12.32,28.0,57.3,21.2,79.61,0.1,36.11,25.7,41.3,25.2
CHEM-TR-0004,img_train_0004_var06,train,1804.36,54.5,38.5,25.7,16.94,5.5,11.38,26.0,53.7,21.2,79.25,0.1,52.45,21.6,73.7,34.7
CHEM-TR-0004,img_train_0004_var07,train,1804.36,53.3,37.0,22.7,16.24,5.56,12.53,28.0,58.4,20.8,80.0,0.1,45.73,29.2,55.6,19.4
CHEM-TR-0004,img_train_0004_var08,train,1804.36,62.0,48.0,36.0,21.08,4.31,10.11,28.0,42.0,24.3,75.03,0.1,54.59,19.5,39.8,9.0
CHEM-TR-0004,img_train_0004_var09,train,1804.36,54.5,38.7,24.1,16.97,5.2,12.55,28.0,55.7,21.2,79.25,0.1,49.25,24.7,66.5,33.7
CHEM-TR-0004,img_train_0004_var10,train,1804.36,46.1,29.7,16.6,12.84,6.08,11.79,26.0,65.1,18.0,83.39,0.1,48.58,31.2,55.0,33.6
CHEM-TR-0005,img_train_0005_var01,train,811.46,110.1,92.2,71.7,40.37,3.95,14.49,32.0,35.3,43.1,56.01,0.1,37.49,21.5,35.9,19.2
