image_id,chemical_state_id,split,dose_ppm_min,base_strip_r,base_strip_g,base_strip_b,lighting_condition,lighting_factor,tint_r,tint_g,tint_b,noise_sigma,blur_ksize,rotation_deg,temperature_c,humidity_pct,strip_age_days,image_path
img_train_0001_var01,CHEM-TR-0001,train,1796.82,60,43,29,neutral_daylight,1.006,0.999,0.996,1.001,0.37,0,0.29,32.1,67.1,20.4,synthetic_wristband_dataset\train\img_train_0001_var01.png
img_train_0001_var02,CHEM-TR-0001,train,1796.82,60,43,29,warm_tungsten,0.938,1.171,0.944,0.838,0.88,0,1.46,25.6,40.3,17.9,synthetic_wristband_dataset\train\img_train_0001_var02.png
img_train_0001_var03,CHEM-TR-0001,train,1796.82,60,43,29,cool_fluorescent,1.024,0.891,0.97,1.152,0.86,0,-1.59,21.2,48.5,32.5,synthetic_wristband_dataset\train\img_train_0001_var03.png
img_train_0001_var04,CHEM-TR-0001,train,1796.82,60,43,29,bright_diffuse,1.23,1.006,1.008,1.023,0.1,0,0.51,20.1,70.8,32.3,synthetic_wristband_dataset\train\img_train_0001_var04.png
img_train_0001_var05,CHEM-TR-0001,train,1796.82,60,43,29,dim_underexposed,0.726,0.944,0.954,0.932,2.25,0,-1.07,27.7,40.8,7.6,synthetic_wristband_dataset\train\img_train_0001_var05.png
img_train_0001_var06,CHEM-TR-0001,train,1796.82,60,43,29,mild_camera_blur,1.019,1.01,1.019,1.004,1.2,3,0.22,30.5,35.7,24.1,synthetic_wristband_dataset\train\img_train_0001_var06.png
img_train_0001_var07,CHEM-TR-0001,train,1796.82,60,43,29,warm_dim_light,0.775,1.144,0.999,0.86,1.71,0,2.28,24.8,54.4,9.6,synthetic_wristband_dataset\train\img_train_0001_var07.png
img_train_0001_var08,CHEM-TR-0001,train,1796.82,60,43,29,cool_bright_light,1.139,0.919,0.973,1.098,0.68,0,-2.39,33.1,79.5,31.7,synthetic_wristband_dataset\train\img_train_0001_var08.png
img_train_0001_var09,CHEM-TR-0001,train,1796.82,60,43,29,high_sensor_noise,0.93,1.006,1.005,1.003,3.06,0,0.08,34.6,73.0,7.3,synthetic_wristband_dataset\train\img_train_0001_var09.png
img_train_0001_var10,CHEM-TR-0001,train,1796.82,60,43,29,mild_angle_shift,1.029,1.023,0.975,0.964,0.91,0,2.59,27.5,64.1,23.0,synthetic_wristband_dataset\train\img_train_0001_var10.png
img_train_0002_var01,CHEM-TR-0002,train,446.85,159,142,118,neutral_daylight,1.004,1.017,1.016,0.984,0.64,0,0.28,28.1,77.1,19.3,synthetic_wristband_dataset\train\img_train_0002_var01.png
img_train_0002_var02,CHEM-TR-0002,train,446.85,159,142,118,warm_tungsten,0.906,1.168,0.942,0.801,0.84,0,1.33,23.7,32.6,34.6,synthetic_wristband_dataset\train\img_train_0002_var02.png
img_train_0002_var03,CHEM-TR-0002,train,446.85,159,142,118,cool_fluorescent,1.054,0.889,0.973,1.134,0.63,0,-1.71,19.2,77.1,23.6,synthetic_wristband_dataset\train\img_train_0002_var03.png
img_train_0002_var04,CHEM-TR-0002,train,446.85,159,142,118,bright_diffuse,1.227,1.029,1.016,1.015,0.25,0,0.68,31.5,71.5,25.3,synthetic_wristband_dataset\train\img_train_0002_var04.png
img_train_0002_var05,CHEM-TR-0002,train,446.85,159,142,118,dim_underexposed,0.697,0.932,0.948,0.961,2.28,0,-0.55,20.0,40.3,37.3,synthetic_wristband_dataset\train\img_train_0002_var05.png
img_train_0002_var06,CHEM-TR-0002,train,446.85,159,142,118,mild_camera_blur,0.971,1.009,0.993,1.019,1.36,3,-0.2,26.8,54.9,6.2,synthetic_wristband_dataset\train\img_train_0002_var06.png
img_train_0002_var07,CHEM-TR-0002,train,446.85,159,142,118,warm_dim_light,0.785,1.144,0.994,0.854,1.62,0,1.8,22.5,71.9,8.6,synthetic_wristband_dataset\train\img_train_0002_var07.png
img_train_0002_var08,CHEM-TR-0002,train,446.85,159,142,118,cool_bright_light,1.157,0.912,1.0,1.084,0.69,0,-2.02,31.7,42.2,9.5,synthetic_wristband_dataset\train\img_train_0002_var08.png
img_train_0002_var09,CHEM-TR-0002,train,446.85,159,142,118,high_sensor_noise,0.894,0.982,1.014,0.997,3.12,0,0.04,31.5,64.4,20.5,synthetic_wristband_dataset\train\img_train_0002_var09.png
img_train_0002_var10,CHEM-TR-0002,train,446.85,159,142,118,mild_angle_shift,0.994,1.033,0.985,0.979,0.86,0,2.82,20.5,69.7,28.9,synthetic_wristband_dataset\train\img_train_0002_var10.png
img_train_0003_var01,CHEM-TR-0003,train,0.0,245,240,222,neutral_daylight,0.984,0.992,0.986,1.004,0.36,0,-0.18,19.0,48.3,27.5,synthetic_wristband_dataset\train\img_train_0003_var01.png
img_train_0003_var02,CHEM-TR-0003,train,0.0,245,240,222,warm_tungsten,0.945,1.178,0.979,0.823,1.08,0,1.3,19.7,43.4,21.5,synthetic_wristband_dataset\train\img_train_0003_var02.png
img_train_0003_var03,CHEM-TR-0003,train,0.0,245,240,222,cool_fluorescent,1.068,0.893,0.988,1.154,0.72,0,-1.52,33.7,31.3,6.7,synthetic_wristband_dataset\train\img_train_0003_var03.png
img_train_0003_var04,CHEM-TR-0003,train,0.0,245,240,222,bright_diffuse,1.246,1.024,1.005,1.02,0.4,0,0.75,32.8,77.1,35.8,synthetic_wristband_dataset\train\img_train_0003_var04.png
img_train_0003_var05,CHEM-TR-0003,train,0.0,245,240,222,dim_underexposed,0.694,0.932,0.969,0.948,2.15,0,-0.96,26.9,47.2,22.0,synthetic_wristband_dataset\train\img_train_0003_var05.png
img_train_0003_var06,CHEM-TR-0003,train,0.0,245,240,222,mild_camera_blur,1.029,0.991,0.986,0.989,1.14,3,0.19,32.9,73.2,20.9,synthetic_wristband_dataset\train\img_train_0003_var06.png
img_train_0003_var07,CHEM-TR-0003,train,0.0,245,240,222,warm_dim_light,0.79,1.158,0.996,0.854,1.89,0,1.89,26.1,41.0,34.6,synthetic_wristband_dataset\train\img_train_0003_var07.png
img_train_0003_var08,CHEM-TR-0003,train,0.0,245,240,222,cool_bright_light,1.142,0.903,0.962,1.116,0.41,0,-2.02,32.1,61.1,33.1,synthetic_wristband_dataset\train\img_train_0003_var08.png
img_train_0003_var09,CHEM-TR-0003,train,0.0,245,240,222,high_sensor_noise,0.918,1.005,1.011,0.997,3.14,0,0.16,31.8,79.0,7.8,synthetic_wristband_dataset\train\img_train_0003_var09.png
img_train_0003_var10,CHEM-TR-0003,train,0.0,245,240,222,mild_angle_shift,1.04,1.042,0.975,0.942,1.09,0,3.08,33.8,40.4,7.4,synthetic_wristband_dataset\train\img_train_0003_var10.png
img_train_0004_var01,CHEM-TR-0004,train,1804.36,60,43,29,neutral_daylight,0.98,1.019,1.015,0.993,0.34,0,0.28,25.0,72.1,27.0,synthetic_wristband_dataset\train\img_train_0004_var01.png
